Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
"Venezuela, RB",VEN,"Population ages 40-44, female (% of female population)",SP.POP.4044.FE.5Y,4.404720128,4.384191063,4.37009378,4.359601209,4.349215279,4.337747927,4.321408333,4.304458852,4.288660968,4.27690862,4.270362918,4.261361919,4.259473894,4.262783148,4.268016275,4.273612173,4.282198616,4.289938942,4.299213787,4.313348972,4.333748699,4.350974696,4.37714705,4.411205432,4.451590765,4.497735666,4.552853926,4.612911214,4.677003994,4.744593552,4.815491427,4.882824578,4.953905078,5.032866434,5.1256474,5.234844874,5.362199698,5.502044074,5.644890173,5.777554349,5.891757609,5.985197672,6.061102352,6.123657611,6.179306871,6.231498667,6.273850852,6.315440689,6.350626344,6.369499083,6.367222154,6.345249782,6.301473881,6.253892972,6.22741236,6.235449344,6.312817716,6.417068545,6.530617156,
"Venezuela, RB",VEN,"Population ages 35-39, male (% of male population)",SP.POP.3539.MA.5Y,5.286742954,5.240232196,5.202505304,5.170873413,5.142137766,5.115243555,5.086125983,5.059674795,5.037115979,5.020690939,5.01118535,5.001018057,5.000320386,5.007105019,5.018088203,5.031676707,5.05204568,5.072752095,5.096967963,5.12925419,5.171325863,5.213951916,5.27009037,5.335491648,5.403845788,5.472257141,5.545600825,5.61562198,5.689558423,5.778501893,5.886753139,6.00284865,6.137990914,6.279364568,6.408521022,6.515352643,6.608513485,6.678582608,6.731447591,6.776674507,6.818760502,6.857015089,6.89351952,6.921717345,6.931506252,6.918725392,6.886737344,6.835102972,6.777232964,6.733623945,6.716147903,6.728636917,6.764341578,6.812905745,6.860439572,6.900175441,6.934057908,6.943156053,6.927142339,
"Venezuela, RB",VEN,"Population ages 35-39, female (% of female population)",SP.POP.3539.FE.5Y,5.267892588,5.228406802,5.197133952,5.171072631,5.14682772,5.123349774,5.097717857,5.073679811,5.052962311,5.038452178,5.031251381,5.023939605,5.026482659,5.036273273,5.049156461,5.063075349,5.082893583,5.101098146,5.122466892,5.153897483,5.198266943,5.245473065,5.309052197,5.382428538,5.456135502,5.525776218,5.596652562,5.660113166,5.72588093,5.808732758,5.915134256,6.034056871,6.175335546,6.324440829,6.460479425,6.571884803,6.668501497,6.740475283,6.79440857,6.841094734,6.88578076,6.925007635,6.963100706,6.993552075,7.006094373,6.996476088,6.964322017,6.912552004,6.85534478,6.814285838,6.801939287,6.818028496,6.859738976,6.915617004,6.969720385,7.013974116,7.060117913,7.080682617,7.076421416,
"Venezuela, RB",VEN,"Population ages 30-34, male (% of male population)",SP.POP.3034.MA.5Y,6.189317608,6.135543454,6.093317392,6.058931,6.028284853,6.000084013,5.972367362,5.948156061,5.929632726,5.920151234,5.921335242,5.925813275,5.942842161,5.970148781,6.004078953,6.042450336,6.092275065,6.143321521,6.197643343,6.258477309,6.327041112,6.393813883,6.4684519,6.552573983,6.648854655,6.757828409,6.886666339,7.022603752,7.156429456,7.277207329,7.378482194,7.455565318,7.518257592,7.568273582,7.608638804,7.64174809,7.676715847,7.703925202,7.718909414,7.71457524,7.687602181,7.642533394,7.576066426,7.504541254,7.450678519,7.426761608,7.430836231,7.463969564,7.512058406,7.553466402,7.575965365,7.590036723,7.583307829,7.569007032,7.569147248,7.596186345,7.585802622,7.569554559,7.523329267,
"Venezuela, RB",VEN,"Population ages 30-34, female (% of female population)",SP.POP.3034.FE.5Y,6.179849247,6.128747487,6.089396276,6.057970148,6.030150754,6.004365621,5.979914515,5.958838193,5.942808868,5.934738283,5.935856292,5.938887713,5.952885328,5.97721482,6.010244757,6.050841158,6.105711249,6.164865025,6.227832135,6.294366124,6.363797468,6.426106755,6.492591154,6.567455559,6.656910376,6.763490906,6.891860909,7.031456428,7.171404686,7.298016602,7.403095194,7.480985273,7.542476883,7.590125885,7.62825949,7.660070515,7.694970666,7.723343366,7.740507501,7.738967111,7.715311531,7.670187216,7.604088041,7.533712156,7.482529381,7.463455215,7.469784201,7.507843306,7.562309237,7.609705589,7.636693304,7.648596893,7.639018948,7.621462218,7.61808265,7.641301949,7.636772664,7.627868087,7.591753564,
"Venezuela, RB",VEN,"Population ages 25-29, male (% of male population)",SP.POP.2529.MA.5Y,7.228796537,7.174638876,7.134115098,7.103896203,7.080488773,7.063016802,7.050156868,7.043134501,7.04458407,7.058776959,7.087582602,7.122739397,7.174428731,7.237944602,7.306026028,7.375119623,7.452529116,7.522139865,7.594477034,7.68534371,7.800823753,7.925734404,8.074229892,8.228095404,8.361910291,8.462449437,8.544346596,8.591880196,8.614906666,8.62978373,8.645184269,8.653093299,8.666614807,8.674491262,8.659937131,8.616747909,8.55831782,8.470147927,8.373449869,8.298347734,8.260561232,8.256407904,8.284170994,8.328539603,8.366206128,8.38467234,8.389732345,8.37694936,8.356429344,8.344911778,8.351461435,8.379686764,8.420333934,8.460853893,8.483968378,8.481200095,8.313195312,8.09124639,7.821962679,
"Venezuela, RB",VEN,"Population ages 25-29, female (% of female population)",SP.POP.2529.FE.5Y,7.219961423,7.168278036,7.131762722,7.105524793,7.083830651,7.065190471,7.050938833,7.039710873,7.036303317,7.048064671,7.078266681,7.11827279,7.178677599,7.251496375,7.324825708,7.392639827,7.464525115,7.523459222,7.583198505,7.66386493,7.773793957,7.896865881,8.048120395,8.207093732,8.344786171,8.445858764,8.526012676,8.570295375,8.589382027,8.600601055,8.612815195,8.616631929,8.626884674,8.632250799,8.615493748,8.569744533,8.51051216,8.422564364,8.32724067,8.254639973,8.220080615,8.217057078,8.248638502,8.298519278,8.341226654,8.362343262,8.363470138,8.345754194,8.319650815,8.302386886,8.303119693,8.32142738,8.353244614,8.38618251,8.402823993,8.394034536,8.230321753,8.010858858,7.74139303,
"Venezuela, RB",VEN,"Population ages 20-24, male (% of male population)",SP.POP.2024.MA.5Y,8.487775681,8.447028639,8.424701557,8.416974334,8.419729894,8.431969684,8.451538441,8.480406519,8.51895616,8.569051462,8.631499798,8.693585335,8.765695449,8.851373278,8.955196983,9.077870838,9.22239669,9.374067995,9.521983911,9.652454429,9.757273208,9.821999611,9.867957798,9.896194856,9.909293553,9.910345398,9.909034913,9.895329347,9.865904693,9.816265339,9.745664499,9.644319959,9.527353653,9.41105257,9.318882317,9.265281918,9.250244648,9.266304291,9.299039836,9.327169771,9.339129565,9.3301645,9.302615186,9.268516941,9.246878,9.248934798,9.265308663,9.301022051,9.337449667,9.348199093,9.320540818,9.260752503,9.162660256,9.042142061,8.925559814,8.83109143,8.54587833,8.258221858,7.975343021,
"Venezuela, RB",VEN,"Population ages 20-24, female (% of female population)",SP.POP.2024.FE.5Y,8.487774915,8.442229809,8.413843867,8.400496814,8.400202873,8.412803022,8.437981161,8.475518054,8.522741188,8.576831929,8.636311169,8.689899413,8.747735968,8.816725997,8.90622191,9.01934495,9.160871794,9.313511213,9.463974262,9.595089344,9.696501917,9.757412643,9.796908539,9.816891946,9.821218521,9.813546485,9.808327053,9.790932338,9.75741473,9.702469206,9.624640538,9.519526397,9.398174735,9.277137664,9.180089453,9.120900076,9.108218418,9.127761233,9.163986542,9.193275901,9.201451144,9.190176432,9.158186531,9.11776442,9.087943053,9.078593547,9.084972376,9.110358154,9.13696481,9.138813677,9.101916284,9.036005522,8.934108951,8.810994404,8.690605782,8.588414549,8.297274127,8.002353489,7.711652468,
"Venezuela, RB",VEN,Population ages 15-64 (% of total population),SP.POP.1564.TO.ZS,51.65589699,51.45231318,51.35367172,51.32673525,51.33247647,51.35768908,51.37080308,51.40207602,51.47538971,51.62981291,51.88093285,52.12788754,52.4799189,52.89973645,53.33060778,53.74026433,54.15169735,54.50957755,54.84276172,55.19608299,55.58573555,55.8831434,56.25066919,56.64333819,56.9974479,57.28550214,57.54535463,57.73250632,57.887489,58.07475982,58.32537254,58.53281972,58.828259,59.17799679,59.53088002,59.86399943,60.2149636,60.53233019,60.83992555,61.17203986,61.53950287,61.88323018,62.25268529,62.63417542,63.00323035,63.34528922,63.62206545,63.88388927,64.12457928,64.3385866,64.52467199,64.69222692,64.81353376,64.91608755,65.05120266,65.25471573,65.13920772,65.0856982,65.0663628,
"Venezuela, RB",VEN,"Population ages 15-64, total",SP.POP.1564.TO,4205741,4342195,4489737,4646422,4809389,4977730,5148686,5325124,5509046,5704197,5912555,6122913,6348860,6587984,6835360,7088077,7349581,7611924,7878013,8153163,8439366,8716589,9009992,9313940,9619290,9921574,10226961,10526212,10824293,11130882,11450825,11762941,12093727,12437381,12783988,13128824,13479511,13824218,14168745,14522145,14887911,15252033,15625678,16004049,16378694,16743710,17082648,17406833,17721361,18034755,18350778,18688529,19030841,19334329,19544721,19629812,19441565,19128953,18784786,
"Venezuela, RB",VEN,"Population ages 15-64, male (% of male population)",SP.POP.1564.MA.ZS,51.73954281,51.51597103,51.39263691,51.34001101,51.32411071,51.33397771,51.32785041,51.34620274,51.41111374,51.55900626,51.80423425,52.03998303,52.38172336,52.7929505,53.21830159,53.6261066,54.02966419,54.38364725,54.71613596,55.07062282,55.46271819,55.75714991,56.12233152,56.51425325,56.87033048,57.16321089,57.41945707,57.60563298,57.76203691,57.95263601,58.20846891,58.41195219,58.70510855,59.05477989,59.40995405,59.74797619,60.09216804,60.40350371,60.70706271,61.03793095,61.4072642,61.74618965,62.11242812,62.49293047,62.86310298,63.20832939,63.48031796,63.73740569,63.97459072,64.18731469,64.37503929,64.53812269,64.65461569,64.75354316,64.88898355,65.09977052,64.95903943,64.88849474,64.86060081,
"Venezuela, RB",VEN,"Population ages 15-64, male",SP.POP.1564.MA.IN,2145481,2213496,2286848,2364668,2445713,2529625,2614517,2702365,2794123,2891561,2995612,3100242,3212689,3331783,3455121,3581285,3711382,3842067,3974777,4112120,4255075,4392998,4539059,4690507,4842851,4993891,5145749,5294709,5443260,5596215,5755998,5910811,6075056,6245817,6418070,6589436,6762126,6931534,7100756,7274502,7454602,7632847,7815801,8001083,8184385,8362688,8526285,8681886,8832420,8982627,9134660,9297277,9462511,9607549,9703817,9734509,9619259,9439369,9244111,
